"ID","Year","Month","Element","Day","Value","DecYear","Latitude","Longitude","Elevation","Name"
"UKE00105875",1960,1,"TMIN",4,3.3,1960.00819672131,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,1,"TMIN",5,0,1960.01092896175,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,1,"TMIN",8,-1.7,1960.01912568306,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,1,"TMIN",14,-3.9,1960.03551912568,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,1,"TMIN",19,-3.9,1960.04918032787,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,1,"TMIN",31,-1.7,1960.08196721311,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,2,"TMIN",6,-2.8,1960.09836065574,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,2,"TMIN",17,-7.8,1960.12841530055,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,2,"TMIN",26,-2.8,1960.15300546448,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,2,"TMIN",28,2.2,1960.15846994536,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,3,"TMIN",8,-1.1,1960.18306010929,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,3,"TMIN",14,1.7,1960.19945355191,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,3,"TMIN",25,-2.2,1960.22950819672,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,3,"TMIN",29,-1.1,1960.24043715847,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,4,"TMIN",19,0,1960.29781420765,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,4,"TMIN",22,4.4,1960.30601092896,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,5,"TMIN",11,-0.6,1960.35792349727,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,5,"TMIN",15,3.9,1960.36885245902,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,5,"TMIN",19,2.8,1960.37978142077,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,5,"TMIN",30,1.1,1960.40983606557,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,7,"TMIN",5,7.2,1960.50819672131,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,7,"TMIN",6,10.6,1960.51092896175,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,7,"TMIN",14,8.3,1960.53278688525,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,7,"TMIN",19,8.9,1960.54644808743,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,7,"TMIN",28,10.6,1960.57103825137,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,7,"TMIN",31,5.6,1960.57923497268,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,8,"TMIN",2,3.3,1960.58469945355,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,8,"TMIN",6,6.7,1960.5956284153,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,8,"TMIN",7,11.1,1960.59836065574,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,8,"TMIN",9,7.2,1960.60382513661,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,8,"TMIN",30,9.4,1960.66120218579,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,9,"TMIN",2,-1.1,1960.6693989071,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,9,"TMIN",18,10,1960.7131147541,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,9,"TMIN",19,8.3,1960.71584699454,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,9,"TMIN",22,6.1,1960.72404371585,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,9,"TMIN",23,0,1960.72677595628,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,9,"TMIN",24,10,1960.72950819672,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,9,"TMIN",25,3.3,1960.73224043716,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,9,"TMIN",28,5.6,1960.74043715847,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,10,"TMIN",10,6.7,1960.77322404372,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,10,"TMIN",11,3.3,1960.77595628415,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,10,"TMIN",25,4.4,1960.81420765027,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,10,"TMIN",28,5.6,1960.82240437158,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,11,"TMIN",1,4.4,1960.83333333333,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,11,"TMIN",3,2.2,1960.83879781421,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,11,"TMIN",4,1.7,1960.84153005464,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,11,"TMIN",5,0,1960.84426229508,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,11,"TMIN",8,-6.7,1960.85245901639,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,11,"TMIN",13,3.9,1960.86612021858,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,11,"TMIN",27,-2.2,1960.9043715847,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1960,12,"TMIN",29,-5,1960.99180327869,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1961,1,"TMIN",3,-3.9,1961.00547945205,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1961,1,"TMIN",8,-6.1,1961.01917808219,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1961,1,"TMIN",16,-11.7,1961.04109589041,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1961,2,"TMIN",1,-2.8,1961.08493150685,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1961,2,"TMIN",10,2.2,1961.1095890411,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1961,2,"TMIN",12,2.2,1961.11506849315,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1961,2,"TMIN",14,5.6,1961.12054794521,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1961,2,"TMIN",16,0,1961.12602739726,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1961,2,"TMIN",28,0.6,1961.15890410959,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1961,3,"TMIN",4,6.1,1961.1698630137,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1961,3,"TMIN",10,2.2,1961.18630136986,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1961,3,"TMIN",11,0,1961.18904109589,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1961,3,"TMIN",31,-2.8,1961.24383561644,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1961,4,"TMIN",11,4.4,1961.27397260274,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1961,4,"TMIN",20,4.4,1961.29863013699,57.0367,-3.22,283,"BALMORAL"
"UKE00105875",1961,4,"TMIN",23,6.7,1961.30684931507,57.0367,-3.22,283,"BALMORAL"
