"Year","Month","Element","Day","DecYear","UKE00105875","UKE00105884","UKE00105886","UKE00105887","UKE00105888","UKE00105930"
1960,1,"TMIN",2,1960.00273224044,-6.7,-2.2,-2.2,-3.3,-2.2,-2.2
1960,1,"TMIN",3,1960.00546448087,-3.9,1.1,-0.6,-2.2,-2.2,-1.7
1960,1,"TMIN",7,1960.01639344262,-3.3,0.6,0.6,0.6,1.1,0
1960,1,"TMIN",9,1960.0218579235,-1.1,-1.7,1.7,0,1.7,-1.7
1960,1,"TMIN",10,1960.02459016393,-7.2,-3.9,-2.2,-3.3,-2.2,-2.8
1960,1,"TMIN",11,1960.02732240437,0.6,0,-1.7,-3.3,-2.2,-1.7
1960,1,"TMIN",13,1960.03278688525,0,1.1,2.2,0.6,1.7,1.1
1960,1,"TMIN",15,1960.03825136612,-2.2,-1.7,-1.7,-1.7,-0.6,0
1960,1,"TMIN",16,1960.04098360656,0,1.7,1.1,0,0.6,-1.1
1960,1,"TMIN",17,1960.04371584699,-3.3,0,-0.6,-1.7,-0.6,0
1960,1,"TMIN",20,1960.05191256831,-9.4,-3.9,-1.7,-3.3,-1.7,-3.9
1960,1,"TMIN",21,1960.05464480874,-13.3,-6.1,-6.7,-3.3,-1.7,-4.4
1960,1,"TMIN",22,1960.05737704918,-0.6,0.6,0.6,0.6,1.7,0.6
1960,1,"TMIN",23,1960.06010928962,5,8.9,7.2,7.8,9.4,8.3
1960,1,"TMIN",24,1960.06284153005,1.1,3.3,4.4,2.2,3.9,2.2
1960,1,"TMIN",25,1960.06557377049,-3.9,0,0,0,0.6,0
1960,1,"TMIN",26,1960.06830601093,-6.7,-1.1,-3.3,-1.7,-1.1,-0.6
1960,1,"TMIN",27,1960.07103825137,-8.3,-1.1,-3.3,-3.9,-1.1,-1.1
1960,1,"TMIN",28,1960.0737704918,-3.9,0,-1.1,-3.9,0.6,0
1960,1,"TMIN",29,1960.07650273224,0,1.1,1.1,0,0.6,-0.6
1960,1,"TMIN",30,1960.07923497268,-3.3,0.6,1.7,-0.6,1.1,0
1960,2,"TMIN",1,1960.08469945355,2.2,2.8,5.6,4.4,4.4,3.9
1960,2,"TMIN",2,1960.08743169399,-0.6,4.4,2.2,1.1,3.9,5.6
1960,2,"TMIN",3,1960.09016393443,3.3,6.7,5,6.7,6.1,5.6
1960,2,"TMIN",5,1960.0956284153,-2.8,2.2,2.2,2.2,2.8,2.2
1960,2,"TMIN",7,1960.10109289617,-6.7,-1.7,0.6,-2.2,-2.2,-2.2
1960,2,"TMIN",8,1960.10382513661,-6.1,-3.3,-1.7,-2.8,-2.2,-1.7
1960,2,"TMIN",9,1960.10655737705,-7.8,-3.3,-2.2,-2.8,-2.2,-3.3
