"Year","Month","Element","Day","DecYear","UKE00105875","UKE00105884","UKE00105886","UKE00105887","UKE00105888","UKE00105930"
1960,1,"TMIN",4,1960.00819672131,3.3,0.6,1.7,-1.1,-2.8,1.7
1960,1,"TMIN",5,1960.01092896175,0,2.2,1.1,1.7,2.8,2.2
1960,1,"TMIN",8,1960.01912568306,-1.7,-2.2,0.6,-3.3,-1.7,-2.8
1960,1,"TMIN",14,1960.03551912568,-3.9,-2.8,-1.7,-2.2,-1.1,-0.6
1960,1,"TMIN",19,1960.04918032787,-3.9,-0.6,0,0.6,0,0
1960,1,"TMIN",31,1960.08196721311,-1.7,0.6,1.7,0,0.6,0.6
1960,2,"TMIN",6,1960.09836065574,-2.8,-2.2,0.6,-2.2,-2.8,-1.7
1960,2,"TMIN",17,1960.12841530055,-7.8,-5.6,-4.4,-6.1,-5,-3.3
1960,2,"TMIN",26,1960.15300546448,-2.8,-1.1,-1.1,-1.1,-1.7,-1.7
1960,2,"TMIN",28,1960.15846994536,2.2,3.3,5.6,5,5.6,6.1
1960,3,"TMIN",8,1960.18306010929,-1.1,1.1,2.2,0,1.7,1.1
1960,3,"TMIN",14,1960.19945355191,1.7,3.9,5,4.4,5,5.6
1960,3,"TMIN",25,1960.22950819672,-2.2,3.3,5,3.3,3.9,3.9
1960,3,"TMIN",29,1960.24043715847,-1.1,-1.1,2.2,1.1,3.3,-1.7
1960,4,"TMIN",19,1960.29781420765,0,3.3,6.1,6.1,7.8,1.7
1960,4,"TMIN",22,1960.30601092896,4.4,7.8,5,6.7,6.7,8.9
1960,5,"TMIN",11,1960.35792349727,-0.6,5.6,6.7,5,7.8,8.9
1960,5,"TMIN",15,1960.36885245902,3.9,8.9,6.7,4.4,6.7,9.4
1960,5,"TMIN",19,1960.37978142077,2.8,6.1,2.8,6.7,7.8,8.9
1960,5,"TMIN",30,1960.40983606557,1.1,5,4.4,2.8,5.6,4.4
1960,7,"TMIN",5,1960.50819672131,7.2,9.4,9.4,9.4,11.1,12.2
1960,7,"TMIN",6,1960.51092896175,10.6,11.7,12.2,10.6,11.7,11.7
1960,7,"TMIN",14,1960.53278688525,8.3,11.7,11.1,10.6,12.2,11.1
1960,7,"TMIN",19,1960.54644808743,8.9,10,9.4,9.4,10.6,11.7
1960,7,"TMIN",28,1960.57103825137,10.6,10,13.3,12.8,13.3,12.8
1960,7,"TMIN",31,1960.57923497268,5.6,7.8,8.3,7.2,7.8,8.3
